Status,Sign,Reference,,,,,,,
,Protractor,https://www.youtube.com/watch?v=-XLpjaB1Ulk,,,,,,,
,Scissors,https://www.youtube.com/watch?v=Vb5je0Moiy0,,,,,,,
,Stickers,https://www.youtube.com/watch?v=lviPg7JxlpQ,,,,,,,
,Tape,https://www.youtube.com/watch?v=hJn8M3nB2Ic,,,,,,,
,Thermocol,https://www.youtube.com/watch?v=y7hOz0K-mj0,,,,,,,
,Stationery,https://www.youtube.com/watch?v=k3UVxRzr7P0,,,,,,,
,Calculator,https://www.youtube.com/watch?v=U02pgwugOu8,,,,,,,
,Cardboard,https://www.youtube.com/watch?v=YeEZvIBt_Vs,,,,,,,
,Compass,https://www.youtube.com/watch?v=5-PGJJFLFwU,,,,,,,
,Crayons,https://www.youtube.com/watch?v=kNtsbX-28AQ,,,,,,,
,Cutter,https://www.youtube.com/watch?v=wWAzUTHK7xo,,,,,,,
,Diary,https://www.youtube.com/watch?v=PGPt5yUkkN8,,,,,,,
,Divider,https://www.youtube.com/watch?v=4rO7L3tvWvU,,,,,,,
,Duster,https://www.youtube.com/watch?v=hsl727XQR4E,,,,,,,
,Envelope,https://www.youtube.com/watch?v=Sid1g2X0Fz4,,,,,,,
,File,https://www.youtube.com/watch?v=dYqeSVkm74U,,,,,,,
,Folder,https://www.youtube.com/watch?v=A5uPXX98Y_s,,,,,,,
,Glue,https://www.youtube.com/watch?v=Esua2GiUiJ8,,,,,,,
,Highlighter,https://www.youtube.com/watch?v=-x8YdDrEGrY,,,,,,,
,Keychain,https://www.youtube.com/watch?v=41mEO-bUrZo,,,,,,,
,Marker,https://www.youtube.com/watch?v=5DPCwERT3TE,,,,,,,
,Notepad,https://www.youtube.com/watch?v=fYvaGbCDuwc,,,,,,,
,Protractor,https://www.youtube.com/watch?v=-XLpjaB1Ulk,,,,,,,
,Scissors,https://www.youtube.com/watch?v=Vb5je0Moiy0,,,,,,,
,Stickers,https://www.youtube.com/watch?v=lviPg7JxlpQ,,,,,,,
,Tape,https://www.youtube.com/watch?v=hJn8M3nB2Ic,,,,,,,
,Thermocol,https://www.youtube.com/watch?v=y7hOz0K-mj0,,,,,,,
,Month: January,https://www.youtube.com/watch?v=wt0cx1tmL8Y,,,,,,,
,Month: February,https://www.youtube.com/watch?v=qnd2ToQfLq0,,,,,,,
,Month: March,https://www.youtube.com/watch?v=eqOzZUMfTgQ,,,,,,,
,Month: April,https://www.youtube.com/watch?v=NaR1crk-kzM,,,,,,,
,Month: May,https://www.youtube.com/watch?v=saEPspjqYcY,,,,,,,
,Month: June,https://www.youtube.com/watch?v=nN3LcXclhrM,,,,,,,
,Month: July,https://www.youtube.com/watch?v=TR3L3_O_okU,,,,,,,
,Month: August,https://www.youtube.com/watch?v=DXKPR5PWK8g,,,,,,,
,Month: September,https://www.youtube.com/watch?v=JuCUIcGT9b0,,,,,,,
,Month: October,https://www.youtube.com/watch?v=JYNTPherJHU,,,,,,,
,Month: November,https://www.youtube.com/watch?v=rXRudCxEC-0,,,,,,,
,Month: December,https://www.youtube.com/watch?v=whIHJ-fd_Kg,,,,,,,
,Animals,https://www.youtube.com/watch?v=Z0tlQqdf-II,,,,,,,
,Ant,https://www.youtube.com/watch?v=18X1E6qOpGw,,,,,,,
,Camel,https://www.youtube.com/watch?v=5FxdSLYEzxY,,,,,,,
,Cat,https://www.youtube.com/watch?v=_ljP-UtNHMw,,,,,,,
,Cow,https://www.youtube.com/watch?v=OZV4UWmh0Es,,,,,,,
,Crocodile,https://www.youtube.com/watch?v=8dUS4n9pBZM,,,,,,,
